company,symbol,date,close,open,high,low
Ford,F,2024-04-01,13.29,13.33,13.38,13.14
Ford,F,2024-04-02,13.28,13.16,13.37,13.09
Ford,F,2024-04-03,13.65,13.25,13.68,13.23
Ford,F,2024-04-04,13.21,13.9,13.95,13.17
Ford,F,2024-04-05,13.28,13.27,13.395,13.09
Ford,F,2024-04-08,13.41,13.345,13.54,13.345
Ford,F,2024-04-09,13.54,13.47,13.59,13.34
Ford,F,2024-04-10,13.06,13.26,13.29,12.95
Ford,F,2024-04-11,13.04,13.11,13.14,12.91
Ford,F,2024-04-12,12.61,12.92,12.92,12.5
Ford,F,2024-04-15,12.23,12.74,12.815,12.18
Ford,F,2024-04-16,12.09,12.14,12.25,11.9412
Ford,F,2024-04-17,12.04,12.135,12.249,12.02
Ford,F,2024-04-18,12.06,12.08,12.17,11.98
Ford,F,2024-04-19,12.14,12.02,12.23,12.02
Ford,F,2024-04-22,12.88,12.31,12.9,12.25
Ford,F,2024-04-23,12.94,13.05,13.05,12.82
Ford,F,2024-04-24,12.95,12.94,13.0499,12.78
Ford,F,2024-04-25,13.04,12.85,13.18,12.63
Ford,F,2024-04-26,12.79,12.76,13.02,12.61
Ford,F,2024-04-29,12.75,12.81,12.84,12.55
Ford,F,2024-04-30,12.15,12.6,12.6,12.13
Ford,F,2024-05-01,12.2,12.16,12.43,12.15
Ford,F,2024-05-02,12.49,12.4,12.55,12.36
Ford,F,2024-05-03,12.43,12.64,12.76,12.39
Ford,F,2024-05-06,12.5,12.54,12.62,12.4575
Ford,F,2024-05-07,12.17,12.4,12.45,12.085
Ford,F,2024-05-08,12.15,12.08,12.25,12.02
Ford,F,2024-05-09,12.13,12.14,12.22,12.06
Ford,F,2024-05-10,11.99,12.145,12.17,11.9122
Ford,F,2024-05-13,12.33,12.05,12.45,12.05
Ford,F,2024-05-14,12.44,12.44,12.64,12.36
Ford,F,2024-05-15,12.31,12.49,12.56,12.18
Ford,F,2024-05-16,12.38,12.27,12.48,12.26
Ford,F,2024-05-17,12.28,12.37,12.38,12.25
Ford,F,2024-05-20,12.15,12.27,12.33,12.14
Ford,F,2024-05-21,12.15,12.16,12.203,12.03
Ford,F,2024-05-22,12.03,12.06,12.08,11.97
Ford,F,2024-05-23,12.11,12.1,12.22,12.01
Ford,F,2024-05-24,12.16,12.16,12.27,12.04
Ford,F,2024-05-28,11.68,12.11,12.13,11.66
Ford,F,2024-05-29,11.56,11.57,11.65,11.5
Ford,F,2024-05-30,11.77,11.58,11.78,11.48
Ford,F,2024-05-31,12.13,11.77,12.15,11.66
