Company,year,week_of_year,Composite Score
Asda,2024,23,0.6827665567398071
Asda,2024,28,0.8839938044548035
Asda,2024,30,-0.4369147717952728
Ford,2024,18,0.0
Ford,2024,25,-0.22774861007928848
Ford,2024,26,-0.36985803842544557
Ford,2024,27,-0.017555898427963255
Ford,2024,28,0.03280382922717503
Ford,2024,29,-0.23245761543512344
Ford,2024,30,-0.33160193952230305
Ford,2024,31,-0.2781152963638306
Marks & Spencer,2024,21,0.9422265291213989
Marks & Spencer,2024,22,-0.2391759604215622
Marks & Spencer,2024,23,0.215012788772583
Marks & Spencer,2024,24,0.3144092361132304
Marks & Spencer,2024,25,0.11042966445287068
Marks & Spencer,2024,26,0.11660348517554146
Marks & Spencer,2024,27,-0.05000801776584826
Marks & Spencer,2024,28,0.35870781540870667
Marks & Spencer,2024,29,0.08548385898272197
Marks & Spencer,2024,30,0.0
Ocado,2024,19,0.0
Ocado,2024,28,-0.9674670696258545
Ocado,2024,29,-0.11154920607805252
Ocado,2024,30,0.41951432079076767
Ocado,2024,31,0.0
Polestar,2024,23,0.0
Polestar,2024,26,-0.36657994985580444
Sainsburys,2024,24,0.0
Sainsburys,2024,27,0.27507710456848145
Sainsburys,2024,29,0.82279372215271
Stellantis,2024,18,0.0
Stellantis,2024,19,-0.3215251564979553
Stellantis,2024,20,0.29704668124516803
Stellantis,2024,22,0.0
Stellantis,2024,24,-0.5474372863769531
Stellantis,2024,25,-0.5993461807568868
Stellantis,2024,26,-0.7345523436864217
Stellantis,2024,28,-0.9581565856933594
Stellantis,2024,29,-0.2318451702594757
Stellantis,2024,30,0.0
Stellantis,2024,31,0.0
Tesco,2024,18,0.0
Tesco,2024,19,-0.8149645924568176
Tesco,2024,20,0.20649776856104532
Tesco,2024,21,0.0
Tesco,2024,22,0.1560193101565043
Tesco,2024,23,0.0
Tesco,2024,24,-0.9175089995066324
Tesco,2024,26,-0.2985586126645406
Tesco,2024,27,0.017226040363311768
Tesco,2024,28,0.0
Tesco,2024,29,0.0
Tesco,2024,30,0.008981374177065763
Tesco,2024,31,0.0
Tesla,2024,19,-0.020355403423309326
Tesla,2024,20,0.16811726490656534
Tesla,2024,21,-0.030773162841796875
Tesla,2024,22,-0.3406040838786534
Tesla,2024,23,-0.4309189590540799
Tesla,2024,24,0.047454655170440674
Tesla,2024,25,0.061071038246154785
Tesla,2024,26,-0.12601865776653948
Tesla,2024,27,0.012990549206733704
Tesla,2024,28,0.0
Tesla,2024,29,-0.17581378089057076
Tesla,2024,30,-0.26926107207934064
Tesla,2024,31,-0.20195819572968918
Toyota,2024,18,0.23550417025883993
Toyota,2024,20,0.8522329131762186
Toyota,2024,22,0.08797650535901387
Toyota,2024,23,0.0870826318860054
Toyota,2024,24,-0.07116472721099854
Toyota,2024,25,0.25656471649805707
Toyota,2024,26,0.0
Toyota,2024,28,0.09192085266113281
Toyota,2024,29,-0.15208973842007772
Toyota,2024,30,-0.17807157073702132
Toyota,2024,31,-0.15112780034542084
