company,date,pos_prob,neut_prob,neg_prob,Sent_d
Ford,2024-05-10,0.10833333333333332,0.8733333333333333,0.01833333333333333,0.045000000000000005
Ford,2024-05-21,0.2037962037962038,0.7772227772227773,0.018981018981018984,0.04623844038990253
Ford,2024-05-31,0.073,0.927,0.0,0.01825
Ford,2024-07-08,0.232,0.734,0.034,0.0495
Ford,2024-07-24,0.1965,0.6950000000000001,0.1085,0.05028571428571429
Ford,2024-07-25,0.131932655861219,0.780038601958003,0.0880287421807781,0.042424106240028764
Ford,2024-07-26,0.13860123950733505,0.768631834941555,0.09276692555111007,0.04328739719937764
Ford,2024-07-27,0.181,0.758,0.061,0.06857142857142857
Ford,2024-07-28,0.16101150082148724,0.7696978355596829,0.0692906636188299,0.08705674961014306
Ford,2024-07-29,0.14605882352941177,0.7978823529411765,0.056058823529411765,0.08270270270270272
Marks & Spencer,2024-05-22,0.2365,0.7315,0.032,0.0818
Marks & Spencer,2024-05-30,0.12456228114057029,0.8539269634817408,0.02151075537768885,0.05887396398971135
Marks & Spencer,2024-06-02,0.141,0.774,0.085,0.027999999999999987
Marks & Spencer,2024-06-03,0.1460680071586483,0.8020844299399937,0.051847562901358044,0.08137103373033913
Marks & Spencer,2024-06-04,0.16591704147926034,0.7876061969015491,0.0464767616191904,0.04779044191161768
Marks & Spencer,2024-06-06,0.18420394901274678,0.7728067983004249,0.042989252686828294,0.08070275674903583
Marks & Spencer,2024-06-10,0.2822822822822823,0.6986986986986988,0.01901901901901902,0.13156578289144572
Marks & Spencer,2024-06-13,0.16,0.781,0.059,0.05771428571428572
Marks & Spencer,2024-06-14,0.13886113886113888,0.8401598401598402,0.020979020979020983,0.06739006282124502
Marks & Spencer,2024-06-18,0.18500000000000003,0.7370000000000001,0.07800000000000001,0.061142857142857145
Marks & Spencer,2024-06-20,0.244,0.7342,0.0218,0.138875
Marks & Spencer,2024-06-21,0.19890054972513743,0.7711144427786107,0.029985007496251874,0.12286441294074882
Marks & Spencer,2024-06-25,0.1328265653130626,0.8485697139427886,0.01860372074414883,0.0713839229903738
Marks & Spencer,2024-06-26,0.2287712287712288,0.7232767232767233,0.04795204795204796,0.10336950314106225
Marks & Spencer,2024-06-27,0.1635,0.8155,0.021,0.10363636363636365
Marks & Spencer,2024-06-28,0.1375687843921961,0.8384192096048023,0.0240120060030015,0.08257548199345217
Marks & Spencer,2024-06-29,0.14,0.837,0.023,0.06685714285714286
Marks & Spencer,2024-07-01,0.12407142857142857,0.8418571428571429,0.03407142857142857,0.07411764705882351
Marks & Spencer,2024-07-02,0.10816,0.8223600000000001,0.06948,0.03453571428571429
Marks & Spencer,2024-07-03,0.20421668205601726,0.7772391505078485,0.0185441674361342,0.1508502125531383
Marks & Spencer,2024-07-04,0.15,0.806,0.044,0.06625
Marks & Spencer,2024-07-08,0.15992003998000998,0.7956021989005496,0.04447776111944027,0.08396946564885495
Marks & Spencer,2024-07-09,0.06406406406406406,0.898898898898899,0.037037037037037035,0.0067516879219804956
Marks & Spencer,2024-07-12,0.102,0.898,0.0,0.05828571428571428
Marks & Spencer,2024-07-13,0.0,0.924,0.076,-0.04342857142857143
Marks & Spencer,2024-07-16,0.1755,0.77825,0.04625,0.10884210526315788
Marks & Spencer,2024-07-18,0.239,0.749,0.012,0.1297142857142857
Marks & Spencer,2024-07-19,0.285,0.697,0.018,0.15257142857142855
Marks & Spencer,2024-07-22,0.06406406406406406,0.898898898898899,0.037037037037037035,0.0067516879219804956
Marks & Spencer,2024-07-23,0.201,0.783,0.016,0.10571428571428572
Marks & Spencer,2024-07-25,0.10750000000000001,0.887,0.0055,0.0408
Marks & Spencer,2024-07-26,0.171,0.719,0.11,0.015250000000000003
Marks & Spencer,2024-07-28,0.0,0.934,0.066,-0.037714285714285714
Ocado,2024-07-16,0.16825009500570032,0.7723663419805188,0.05938356301378083,0.10270392663735681
Ocado,2024-07-17,0.279,0.676,0.045,0.13371428571428573
Ocado,2024-07-19,0.156,0.78,0.064,0.05257142857142857
Ocado,2024-07-22,0.06706276839814106,0.8989940584740278,0.033943173127831044,0.02815140757037851
Ocado,2024-07-23,0.08254127063531766,0.8704352176088044,0.047023511755877934,0.02582757366315024
Ocado,2024-07-24,0.219,0.754,0.027,0.10971428571428572
Ocado,2024-07-25,0.10750000000000001,0.887,0.0055,0.0408
Ocado,2024-07-26,0.171,0.719,0.11,0.015250000000000003
Ocado,2024-07-28,0.0,0.934,0.066,-0.037714285714285714
Ocado,2024-07-29,0.06645642642873624,0.8521652180601492,0.08137835551111453,-0.014108064868009602
Polestar,2024-06-28,0.13356678339169586,0.822911455727864,0.04352176088044022,0.036007201440288066
Polestar,2024-07-02,0.145,0.784,0.071,0.0185
Stellantis,2024-06-05,0.082,0.918,0.0,0.0328
Stellantis,2024-06-25,0.107,0.769,0.124,-0.00425
Stellantis,2024-07-25,0.19090454772613694,0.7686156921539231,0.040479760119940034,0.08597543558983148
Tesco,2024-05-30,0.0,0.925,0.075,-0.01875
Tesco,2024-05-31,0.147,0.813,0.04,0.04279999999999999
Tesco,2024-06-06,0.097,0.844,0.059,0.015200000000000002
Tesco,2024-06-21,0.156,0.796,0.048,0.027
Tesco,2024-06-26,0.1891891891891892,0.7842842842842843,0.02652652652652653,0.06502601040416167
Tesco,2024-06-27,0.2786328203078153,0.688786727963222,0.03258045172896262,0.1538173185055604
Tesco,2024-06-28,0.12766666666666668,0.7563333333333334,0.116,0.008749999999999999
Tesco,2024-07-01,0.10120647621429019,0.8773520035006563,0.021441520285053445,0.0671685002895194
Tesco,2024-07-02,0.16758379189594796,0.7583791895947973,0.07403701850925463,0.06802473626773371
Tesco,2024-07-03,0.22545398584179752,0.742459218220991,0.032086795937211456,0.15710177544386097
Tesco,2024-07-04,0.2766383191595798,0.6863431715857928,0.03701850925462732,0.1742451800654784
Tesco,2024-07-05,0.23423423423423426,0.7187187187187187,0.04704704704704705,0.10691823899371068
Tesco,2024-07-08,0.15184815184815187,0.8411588411588412,0.006993006993006994,0.08280982295830953
Tesco,2024-07-09,0.17201911323480387,0.8158684298255362,0.012112456939659962,0.11992666055504625
Tesco,2024-07-12,0.14366666666666664,0.8433333333333333,0.012999999999999998,0.10453333333333333
Tesco,2024-07-16,0.193,0.782,0.025,0.096
Tesco,2024-07-17,0.23423423423423426,0.7187187187187187,0.04704704704704705,0.10691823899371068
Tesco,2024-07-18,0.106,0.878,0.016,0.05142857142857143
Tesco,2024-07-22,0.10002000400080016,0.7325465093018604,0.16743348669733948,-0.04213026628328542
Tesco,2024-07-23,0.166,0.821,0.013,0.08742857142857142
Tesco,2024-07-24,0.08275,0.90275,0.014500000000000002,0.05747368421052631
Tesco,2024-07-25,0.1318333333333333,0.8503333333333333,0.01783333333333333,0.076
Tesco,2024-07-26,0.21623722789871166,0.7528876055086628,0.030875166592625503,0.1390369876707764
Tesco,2024-07-29,0.21339999999999998,0.7498,0.0368,0.15356521739130435
Tesla,2024-05-01,0.153,0.793,0.054,0.02475
Tesla,2024-05-10,0.05002501250625312,0.7978989494747374,0.15207603801900949,-0.04080816163232646
Tesla,2024-05-13,0.21421421421421422,0.7567567567567568,0.02902902902902903,0.046261565391347834
Tesla,2024-05-14,0.21421421421421422,0.7567567567567568,0.02902902902902903,0.046261565391347834
Tesla,2024-05-17,0.121,0.752,0.127,-0.0015000000000000013
Tesla,2024-05-19,0.178,0.808,0.014,0.040999999999999995
Tesla,2024-05-28,0.183,0.806,0.011,0.0688
Tesla,2024-05-31,0.1951951951951952,0.7957957957957958,0.009009009009009009,0.046511627906976744
Tesla,2024-06-06,0.251,0.708,0.041,0.0525
Tesla,2024-06-10,0.258,0.683,0.059,0.04975
Tesla,2024-06-12,0.0876,0.8772,0.035199999999999995,0.03275
Tesla,2024-06-13,0.146,0.761,0.093,0.013249999999999998
Tesla,2024-06-26,0.22,0.771,0.009,0.05275
Tesla,2024-06-27,0.06846576711644177,0.7511244377811094,0.18040979510244873,-0.044791041791641666
Tesla,2024-06-28,0.0,0.743,0.257,-0.06425
Tesla,2024-07-02,0.236,0.764,0.0,0.059
Tesla,2024-07-03,0.24,0.716,0.044,0.049
Tesla,2024-07-10,0.188,0.786,0.026,0.0405
Tesla,2024-07-16,0.097,0.85,0.053,0.011000000000000001
Tesla,2024-07-18,0.17300000000000001,0.8220000000000001,0.005000000000000001,0.041999999999999996
Tesla,2024-07-19,0.19380619380619382,0.7672327672327673,0.03896103896103897,0.03874031492126969
Tesla,2024-07-21,0.19419419419419423,0.7267267267267268,0.07907907907907909,0.046018407362945185
Tesla,2024-07-22,0.13885714285714285,0.8444285714285714,0.016714285714285713,0.08549999999999999
Tesla,2024-07-23,0.16600000000000004,0.757,0.07700000000000001,0.03560000000000001
Tesla,2024-07-24,0.114,0.76,0.126,-0.002999999999999999
Tesla,2024-07-25,0.1339801510887276,0.7906976744186047,0.07532217449266777,0.05279296093854152
Tesla,2024-07-26,0.1727186160926837,0.7589112839231867,0.0683700999841295,0.09960612028480537
Tesla,2024-07-27,0.243,0.733,0.024000000000000004,0.14600000000000002
Tesla,2024-07-28,0.13203300825206302,0.8122030507626907,0.05576394098524631,0.0642240471678248
Tesla,2024-07-29,0.14018753888543242,0.7901297662430006,0.06968269487156697,0.06609865844512958
Toyota,2024-05-02,0.18699999999999997,0.7974999999999999,0.015499999999999996,0.0686
Toyota,2024-05-06,0.132,0.824,0.044,0.022000000000000002
Toyota,2024-05-27,0.07891350964974982,0.8950679056468905,0.026018584703359538,0.03701850925462732
Toyota,2024-05-28,0.10243306299300078,0.8824575047216976,0.015109432285301636,0.06549454212148988
Toyota,2024-05-29,0.145,0.855,0.0,0.03625
Toyota,2024-06-03,0.07450000000000001,0.7705,0.155,-0.03219999999999999
Toyota,2024-06-04,0.11592271818787475,0.8461025982678215,0.0379746835443038,0.03898700433188937
Toyota,2024-06-11,0.07700000000000001,0.8380000000000001,0.08500000000000002,-0.0020000000000000018
Toyota,2024-06-12,0.12295901366211265,0.8300566477840721,0.0469843385538154,0.03799366772204633
Toyota,2024-06-18,0.069,0.799,0.132,-0.01575
Toyota,2024-07-09,0.13950000000000004,0.7725000000000001,0.08800000000000001,0.020600000000000007
Toyota,2024-07-24,0.06668889629876626,0.8702900966988996,0.06302100700233411,0.0018336389398233054
Toyota,2024-07-25,0.135240695191502,0.7625212855096358,0.10223801929886207,0.03171675714990778
Toyota,2024-07-26,0.1220112334150625,0.799389639522145,0.07859912706279236,0.04230853966478552
Toyota,2024-07-27,0.1575,0.756,0.0865,0.05978947368421053
Toyota,2024-07-28,0.14830861523079486,0.7407098816863856,0.11098150308281952,0.03318026958969041
Toyota,2024-07-29,0.14610905240868186,0.7364272689841774,0.11746367860714077,0.02743507408033351
